  From number    To number  From name           To name             ID      In service    R (pu)    X (pu)    Tap ratio (pu)    Capacity (MVA)
         3056         3567  CYG_B316_34.500     AUR_4.16KV_4.1600   1                1    0.0000    1.8461            1.0000            6.5000
         3056         3586  CYG_B316_34.500     ZGZ_34.5_4.2000     1                1    0.0000    3.9000            1.0000            3.5000
         3059         3415  ELC_B560_138.00     ELC_B231_13.800     1                1    0.0000    0.3200            1.0000           56.2000
         3059         3416  ELC_B560_138.00     ELC_B232_13.800     1                1    0.0000    0.3200            1.0000           56.2000
         3060         3187  CYG_B536_138.00     CYG_B315_34.500     1                1    0.0000    0.5000            0.9625           25.0000
         3063         3168  GUA_B337_34.500     ECO_U01_0.4800      1                1    0.0000    4.0000            1.0000            2.5000
         3065         3181  HYO_U01_0.4800      CAR_B340_34.500     1                1    0.0000    7.6923            1.0000            1.3000
         3067         3164  ISL_B520_138.00     ISL_B331_34.500     1                1    0.0000    0.4953            0.9719           25.0000
         3068         3114  JUT_B337_34.500     BAB_U01_13.800      1                1    0.0000    0.8333            1.0000           12.0000
         3068         3171  JUT_B337_34.500     CRN_U01_13.800      1                1    0.0000    0.7500            1.0000           12.0000
         3068         3574  JUT_B337_34.500     SMA_0.69KV_0.6900   1                1    0.0000    2.9550            1.0000            2.0000
         3068         3575  JUT_B337_34.500     SMA_0.69KV_0.6900   1                1    0.0000    2.9600            1.0000            2.0000
         3072         3076  LNZ_138KV_138.00    LNZ_B226_13.800     1                1    0.0000    0.3110            0.9625           50.0000
         3074         3075  LLN_B213_13.800     LLN_B419_69.000     1                1    0.0000    0.4152            1.0000           25.0000
         3076         3077  LNZ_B226_13.800     LNZ_B425_69.000     2                0    0.0000    0.4733            1.0094           25.0000
         3077         3150  LNZ_B425_69.000     LNZ_B227_13.800     1                0    0.0000    0.4967            0.9719           25.0000
         3078         3134  LPT_B503_138.00     LPT_B244_13.800     1                1    0.0000    0.3103            0.9437           50.0000
         3078         3603  LPT_B503_138.00     LPT_13.8_13.800     1                1    0.0000    0.2464            0.9625           25.0000
         3081         3153  MAS_B352_34.500     CYM_U01_4.1600      1                1    0.0000    1.0000            1.0000           14.0000
         3081         3154  MAS_B352_34.500     SCA_U01_4.1600      1                1    0.0000    1.1260            1.0000            6.0000
         3081         3158  MAS_B352_34.500     COR_U01_4.1600      1                1    0.0000    1.1260            1.0000            6.0000
         3081         3177  MAS_B352_34.500     LAU_U01_4.1600      1                1    0.0000    2.0000            1.0000            5.0000
         3083         3084  MCH_B311_34.500     MCH_2.4KV_2.4000    1                1    0.0000    0.5684            1.0000           13.4000
         3083         3166  MCH_B311_34.500     APC_U01_0.4800      1                1    0.0000    1.2000            1.0000           10.0000
